window_count;indices;boundary;window_area_sum;avg_height;floor_level;floor_height;avg_sill_height;WWR
2;[0, 1];[857, 891];2508;33.0;-17.5;-17.5;890.5;-0.7542857142857143
3;[2, 3, 4];[766, 837];6973;55.0;44.0;61.5;829.0;0.5967479674796748
3;[5, 6, 7];[674, 743];9062;68.66666666666667;130.16666666666663;86.16666666666663;742.8333333333334;0.5535172554209511
3;[8, 9, 10];[581, 649];8488;66.33333333333333;224.83333333333337;94.66666666666674;648.1666666666666;0.4719051148999255
