identificatie,photo_dist
0363100012141840,5.24535
0363100012142207,6.438073
0363100012142410,7.596915
0363100012142455,3.636761
0363100012142481,5.868618
0363100012142811,7.138285
0363100012143395,6.454524
0363100012143853,5.074481
0363100012144104,6.410855
0363100012144502,6.081761
0363100012144741,4.983535
0363100012145113,6.634229
0363100012145362,6.838437
0363100012145395,3.911202
0363100012145513,4.925513
0363100012145756,5.628801
0363100012146740,5.57799
0363100012146905,5.74972
0363100012146905,5.787007
0363100012148018,6.889326
0363100012148141,6.429651
0363100012148564,7.429796
0363100012148681,7.07606
0363100012148729,4.465841
0363100012148970,6.278289
0363100012149438,4.603182
0363100012151793,4.327857
0363100012151921,4.197832
0363100012151973,3.311896
0363100012151973,5.593146
0363100012152237,4.495921
0363100012154067,6.26951
0363100012154645,5.60821
0363100012155277,6.229224
0363100012163984,6.925495
0363100012164573,3.379903
0363100012165032,5.465349
0363100012165034,7.133772
0363100012165035,6.850216
0363100012165038,5.105215
0363100012165048,5.069456
0363100012165060,5.346305
0363100012165435,4.852048
0363100012165494,7.811071
0363100012166652,4.945929
0363100012167479,4.209638
0363100012167491,4.140019
0363100012167547,4.567098
0363100012167550,8.170915
0363100012167556,6.702634
0363100012167561,6.065398
0363100012167566,6.235896
0363100012167601,3.604606
0363100012167605,4.540813
0363100012167608,4.029635
0363100012167609,6.118799
0363100012167611,6.360532
0363100012167618,6.054616
0363100012167636,5.36756
0363100012167723,4.858638
0363100012167785,7.593151
0363100012167806,5.385444
0363100012167808,6.743764
0363100012167869,4.281495
0363100012167872,5.786548
0363100012167885,3.387661
0363100012167892,6.182673
0363100012167949,3.171717
0363100012167957,3.247074
0363100012168024,3.527467
0363100012168044,4.800129
0363100012168085,3.654892
0363100012168087,4.01949
0363100012168097,3.936516
0363100012168106,4.253747
0363100012168107,3.994824
0363100012168158,4.126915
0363100012168161,4.350447
0363100012168180,6.197713
0363100012168187,5.814581
0363100012168218,6.70578
0363100012168233,2.964292
0363100012168249,4.46072
0363100012168279,3.865489
0363100012168281,5.894441
0363100012168284,5.824481
0363100012168301,3.205705
0363100012168308,6.816975
0363100012168318,3.688738
0363100012168451,4.207649
0363100012168458,4.597392
0363100012168461,4.151678
0363100012168490,3.53734
0363100012168491,4.717354
0363100012168504,2.454644
0363100012168577,7.048663
0363100012168607,5.939937
0363100012168637,5.354541
0363100012168650,3.295758
0363100012168664,7.141077
0363100012168665,6.957831
0363100012168672,7.180974
0363100012168698,5.707124
0363100012168703,4.170374
0363100012168749,3.928845
0363100012168754,3.674267
0363100012168756,5.132827
0363100012168766,2.901297
0363100012168925,4.531351
0363100012168948,3.286707
0363100012168982,3.660623
0363100012168983,3.098218
0363100012168984,2.999421
0363100012168989,3.714978
0363100012169002,3.485228
0363100012169116,5.41762
0363100012169132,3.868935
0363100012169199,5.648497
0363100012169203,5.262849
0363100012169228,3.81037
0363100012169233,4.315447
0363100012169237,3.921379
0363100012169255,4.266795
0363100012169260,3.485518
0363100012169262,2.577929
0363100012169263,3.461085
0363100012169322,4.909342
0363100012169360,5.28018
0363100012169371,8.273533
0363100012169429,4.24764
0363100012169450,3.706679
0363100012169453,4.824092
0363100012169465,7.197686
0363100012169494,6.894995
0363100012169592,4.187096
0363100012169663,4.442351
0363100012169679,7.481996
0363100012169842,3.116364
0363100012169849,5.142883
0363100012169906,3.242062
0363100012169909,4.865832
0363100012169946,4.108569
0363100012169957,3.970416
0363100012169981,4.868127
0363100012169989,3.595403
0363100012170175,4.212303
0363100012170208,3.26929
0363100012170212,3.319226
0363100012170218,4.401006
0363100012170223,3.694171
0363100012171005,4.654131
0363100012171007,4.840186
0363100012171024,4.543015
0363100012171044,4.555663
0363100012171045,5.072489
0363100012171051,5.347227
0363100012171055,5.098839
0363100012171058,4.991661
0363100012171061,4.939675
0363100012171091,5.046769
0363100012171093,4.479673
0363100012171122,8.517048
0363100012171123,5.768397
0363100012171245,texture
0363100012171284,6.030834
0363100012171302,3.220231
0363100012171343,4.704642
0363100012171372,6.403645
0363100012171429,4.735951
0363100012171430,4.631902
0363100012171441,5.194408
0363100012171507,7.399462
0363100012171572,6.413418
0363100012171575,7.840271
0363100012171585,4.492482
0363100012171586,4.790067
0363100012171608,5.135486
0363100012171609,5.530126
0363100012171611,6.935134
0363100012171666,4.595326
0363100012171668,4.556879
0363100012171688,6.217487
0363100012171695,5.925525
0363100012171726,6.401255
0363100012171772,4.587536
0363100012171777,4.102169
0363100012171780,4.862673
0363100012171781,4.446048
0363100012171785,6.888393
0363100012171787,6.945567
0363100012171862,6.736322
0363100012171863,6.643151
0363100012171896,5.640428
0363100012171928,6.936772
0363100012172107,4.404478
0363100012172428,5.862834
0363100012172490,2.940301
0363100012172495,3.014595
0363100012172511,6.98333
0363100012172543,3.374739
0363100012172568,3.093956
0363100012172583,4.90542
0363100012172679,5.93974
0363100012172735,3.574667
0363100012172735,7.048912
0363100012172784,5.658451
0363100012172891,4.068742
0363100012172983,6.798116
0363100012172997,5.268979
0363100012173002,2.747386
0363100012173035,3.175961
0363100012173117,5.006421
0363100012173118,3.214455
0363100012173120,4.146504
