window_count;indices;boundary;avg_win_height;floor_level;roof_level;floor_height;avg_sill_height;window_area_sum;wall_area;WWR
2;[0, 1];[857, 891];33.0;900.0;848.0;52.0;890.5;2508;9880.0;0.25384615384615383
3;[2, 3, 4];[766, 837];55.0;848.0;763.6111111111111;84.38888888888891;829.0;6973;16033.888888888894;0.43489137590520066
3;[5, 6, 7];[674, 743];68.66666666666667;763.6111111111111;665.5;98.11111111111109;742.8333333333334;9062;18641.111111111106;0.4861298205877095
3;[8, 9, 10];[581, 649];66.33333333333333;665.5;466.0;199.5;648.1666666666666;8488;37905.0;0.22392824165677352
