window_count;indices;boundary;avg_win_height;floor_level;roof_level;floor_height;avg_sill_height;window_area_sum;wall_area;WWR
3;[0, 1, 2];[832, 880];41.666666666666664;900.0;816.7777777777777;83.22222222222229;876.8333333333334;6119;26131.7777777778;0.2341593462195877
2;[3, 4];[750, 781];29.0;816.7777777777777;715.0;101.77777777777771;780.0;3186;31958.2222222222;0.09969265429866778
